seed,informative,next_return,last_return,last_imbalance,round_number
22,1,29.3178976645989,-5.77061169218545,5.76467845019362,1
33,0,12.5135100341082,14.818972019163,-2.47517402848735,2
49,1,12.9242996397914,-12.4154610092005,3.22405957341686,5
58,1,8.03430686476779,-11.1888922231359,-2.38054022447717,6
60,1,21.0486447176862,46.8317184438036,-1.09725846773899,8
101,1,12.2928746925969,15.2098450069864,9.07079175282812,9
174,1,27.7493767854797,14.6455120632153,8.85887070029964,11
190,1,5.54678457606592,-3.62070763471699,-5.58237507044605,14
154,0,16.2241467682678,3.1022221271053,10.0693384389595,3
260,0,-2.86297242693207,14.0018110847721,4.52897911149612,4
320,0,20.8485847322204,25.49751207639,-7.29624935794479,7
334,0,-3.044953941097,11.1783122973334,5.46047826917888,10
418,0,7.45550661474446,31.9155805663154,-13.0838031215087,12
429,0,6.84938919260437,8.88013136617602,-9.01347082636936,13
