round_number,seed,informative,in_sample_corr,next_return,last_return,last_imbalance
1,13,1,0.745583268650352,22.7270372184755,24.8299647932739,-3.45142346112453
2,6,0,-0.0014829747819348,17.2565129214301,15.6552619854883,-10.6145146455845
3,5385,1,0.75123029555302,16.8775714200622,14.5282644745692,7.35487993020429
4,10145,1,0.745905502562403,16.9752110267725,15.5718949491859,14.2517599224379
5,3118,1,0.75697821492537,-11.0647641062684,14.7639768809906,-12.6327970336565
6,1097,0,0.0077353216655632,22.4078126217597,14.8724659161298,-11.2220986754594
7,11983,1,0.753510874850521,-4.77007384032043,15.1796074842736,-8.69500157023721
8,11687,0,0.0029525457925445,19.2982240105404,15.3352032889933,8.30613918663683
9,6569,1,0.744090047693557,24.2659454381039,14.4738059185499,5.74536607212394
10,10682,0,-0.0086345001847927,28.6089312735897,15.4765191734232,-5.93528096088877
11,798,0,0.0091395234823528,37.6588629338984,15.1659550204512,-10.6498152440075
12,1434,1,0.751525122266218,30.3829281992374,15.5031697191143,8.37348426153206
13,101,1,0.748910254908351,12.2928746925969,15.2098450069864,9.07079175282812
14,8378,0,-0.0020293651411667,5.87642608043333,15.2594062687008,-18.6939033943952
15,10420,0,0.0017261856415528,-0.723989516491677,14.8851744288267,-8.78871018746978
16,1887,1,0.744737959177602,6.32159774566318,15.0827396168302,-10.7034666037922
17,4521,0,-0.0095526561210919,22.9090225541578,15.4620400803003,11.8143050187262
18,930,0,-0.00349125952489,17.9942787562462,15.3738697895262,10.1008360062988
19,4107,0,-0.0032343116664908,27.2611152781865,15.0728085690886,8.27693716878569
20,3851,1,0.755494872439202,-8.79848578409706,15.1098174886843,-18.5046274258981
