participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.consent,player.offer_price,player.transaction_price,player.discount,player.purchased,player.assigned_round,player.path_seed,player.realized_return,player.last_return,player.last_imbalance,player.imbalance_was_informative,player.cq_informative,player.cq_attention,player.cq_cash,player.investment_amount,player.return_forecast,player.forecast_confidence,player.imbalance_informative,player.belief_confidence,player.practice_imbalance_informative,player.practice_belief_confidence,player.practice_return_forecast,player.practice_forecast_confidence,player.practice_investment,player.fl_interest,player.fl_inflation,player.fl_diversification,player.age,player.gender,player.education,player.finance_course,player.data_available,player.investment_payoff,player.fin_literacy_score,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,3p9bas6g,,0,12,11,pricing,Results,2026-07-02 19:34:07.681592,1,,,109.74,1,,109.74,1,3,0,3,1,2,6,17.25651292143,15.6552619854883,-10.6145146455845,0,sometimes,third_option,cash,55.0,33.0,2,1,4,1,2,22.0,3,44.0,more,more,true,33,female,some_college,1,1,109.49,1,1,1,32dd3z4p,,,,,0
2,n8lnudg5,,0,0,11,,,,0,,,0.0,2,,0.0,,6,0,6,,5,3851,-8.79848578409706,15.1098174886843,-18.5046274258981,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,32dd3z4p,,,,,0
3,gqxby4o2,,0,0,11,,,,0,,,0.0,3,,0.0,,9,0,9,,5,3851,-8.79848578409706,15.1098174886843,-18.5046274258981,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,32dd3z4p,,,,,0
4,nwrfw175,,0,0,11,,,,0,,,0.0,4,,0.0,,3,1,2,,5,3851,-8.79848578409706,15.1098174886843,-18.5046274258981,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,32dd3z4p,,,,,0
5,80sb0pmk,,0,0,11,,,,0,,,0.0,5,,0.0,,6,1,5,,2,6,17.25651292143,15.6552619854883,-10.6145146455845,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,32dd3z4p,,,,,0
6,7jhglime,,0,0,11,,,,0,,,0.0,6,,0.0,,9,1,8,,2,6,17.25651292143,15.6552619854883,-10.6145146455845,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,32dd3z4p,,,,,0
7,jguhkczc,,0,0,11,,,,0,,,0.0,7,,0.0,,6,4,2,,2,6,17.25651292143,15.6552619854883,-10.6145146455845,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,32dd3z4p,,,,,0
8,i5eqwh0g,,0,0,11,,,,0,,,0.0,8,,0.0,,9,4,5,,2,6,17.25651292143,15.6552619854883,-10.6145146455845,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,32dd3z4p,,,,,0
9,9uaz2n13,,0,0,11,,,,0,,,0.0,9,,0.0,,9,7,2,,2,6,17.25651292143,15.6552619854883,-10.6145146455845,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,32dd3z4p,,,,,0
10,dm6njs66,,0,0,11,,,,0,,,0.0,10,,0.0,,3,0,3,,4,11687,19.2982240105404,15.3352032889933,8.30613918663683,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,32dd3z4p,,,,,0
11,t7fmsl9l,,0,0,11,,,,0,,,0.0,11,,0.0,,6,0,6,,3,5385,16.8775714200622,14.5282644745692,7.35487993020429,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,32dd3z4p,,,,,0
12,ic6s86qh,,0,0,11,,,,0,,,0.0,12,,0.0,,9,0,9,,3,5385,16.8775714200622,14.5282644745692,7.35487993020429,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,32dd3z4p,,,,,0
13,5krzum0h,,0,0,11,,,,0,,,0.0,13,,0.0,,3,0,3,,4,11687,19.2982240105404,15.3352032889933,8.30613918663683,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,32dd3z4p,,,,,0
14,94n0adpf,,0,0,11,,,,0,,,0.0,14,,0.0,,6,0,6,,3,5385,16.8775714200622,14.5282644745692,7.35487993020429,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,32dd3z4p,,,,,0
15,xi4a5s4m,,0,0,11,,,,0,,,0.0,15,,0.0,,9,0,9,,2,6,17.25651292143,15.6552619854883,-10.6145146455845,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,32dd3z4p,,,,,0
16,qkqv5t4c,,0,0,11,,,,0,,,0.0,16,,0.0,,3,1,2,,3,5385,16.8775714200622,14.5282644745692,7.35487993020429,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,32dd3z4p,,,,,0
17,65bn5907,,0,0,11,,,,0,,,0.0,17,,0.0,,6,1,5,,3,5385,16.8775714200622,14.5282644745692,7.35487993020429,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,32dd3z4p,,,,,0
18,hyacu35r,,0,0,11,,,,0,,,0.0,18,,0.0,,9,1,8,,4,11687,19.2982240105404,15.3352032889933,8.30613918663683,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,32dd3z4p,,,,,0
19,o88ojdx2,,0,0,11,,,,0,,,0.0,19,,0.0,,6,4,2,,5,3851,-8.79848578409706,15.1098174886843,-18.5046274258981,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,32dd3z4p,,,,,0
20,w47pbb9j,,0,0,11,,,,0,,,0.0,20,,0.0,,9,4,5,,5,3851,-8.79848578409706,15.1098174886843,-18.5046274258981,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,32dd3z4p,,,,,0
